id,name,geographic_address,status,geometry
47,MIDAS site at M621/1133A priority 1 on link 116021901; GPS Ref: 432159;429104; Eastbound,M621/1133A,Active,"c(432158.7361201, 429105.822301505)"
211,MIDAS site at M621/1023B priority 1 on link 125025501; GPS Ref: 425269;428250; Westbound,M621/1023B,Active,"c(425268.754193236, 428251.729018487)"
1117,MIDAS site at M621/1002A priority 1 on link 116034401; GPS Ref: 423443;427933; Eastbound,M621/1002A,Active,"c(423442.762458725, 427934.73431385)"
2044,MIDAS site at M621/1132B priority 1 on link 116021001; GPS Ref: 432130;429232; Westbound,M621/1132B,Active,"c(432129.735300877, 429233.820723221)"
2437,MIDAS site at M621/1018B priority 1 on link 116034502; GPS Ref: 424938;427871; Westbound,M621/1018B,Active,"c(424937.75409445, 427872.722787385)"
4034,MIDAS site at M621/1033B priority 1 on link 125025501; GPS Ref: 425827;429066; Westbound,M621/1033B,Active,"c(425826.752322978, 429067.742459923)"
4330,MIDAS site at M621/1028B priority 1 on link 125025501; GPS Ref: 425518;428680; Westbound,M621/1028B,Active,"c(425517.753965887, 428681.736650144)"
4876,MIDAS site at M621/1005B priority 1 on link 116034302; GPS Ref: 423716;427915; Westbound,M621/1005B,Active,"c(423715.759897579, 427916.731736801)"
5761,MIDAS site at M621/1012B priority 1 on link 116034502; GPS Ref: 424376;427712; Westbound,M621/1012B,Active,"c(424375.755075322, 427713.722224015)"
5927,MIDAS site at M621/1009B priority 1 on link 116034302; GPS Ref: 424100;427834; Westbound,M621/1009B,Active,"c(424099.755840413, 427835.726298806)"
6104,MIDAS site at M621/1001B priority 1 on link 116034302; GPS Ref: 423339;427838; Westbound,M621/1001B,Active,"c(423338.764129551, 427839.734786399)"
6200,MIDAS site at M621/1124A priority 1 on link 116020902; GPS Ref: 432107;430224; Eastbound,M621/1124A,Active,"c(432106.734107777, 430225.808529906)"
